sku,name,type,price,upc,category,shipping,description,manufacturer,model,url,image
1388034,Sony - AC Adapter and Charger,HardGood,149.99,27242781184,"[{'id': 'abcat0400000', 'name': 'Cameras & Camcorders'}, {'id': 'abcat0410022', 'name': 'Camcorder Accessories'}, {'id': 'abcat0410024', 'name': 'Camcorder Batteries & Power'}, {'id': 'pcmcat240500050056', 'name': 'Camcorder Adapters & Chargers'}]",0.0,"Compatible with InfoLithium V, H and P batteries; dual-charge; LCD battery life indicator",Sony,ACVQV10,http://www.bestbuy.com/site/sony-ac-adapter-and-charger/1388034.p?id=1218334699125&skuId=1388034&cmp=RMXCC,http://img.bbystatic.com/BestBuy_US/images/products/1388/1388034_500x500_sa.jpg
1749995,Nanette Lepore - Case for Apple® iPhone® 6 Plus and 6s Plus - Multicolor,HardGood,4.99,5031300085010,"[{'id': 'abcat0800000', 'name': 'Cell Phones'}, {'id': 'abcat0811002', 'name': 'Cell Phone Accessories'}, {'id': 'pcmcat191200050015', 'name': 'iPhone Accessories'}, {'id': 'pcmcat214700050000', 'name': 'iPhone Cases & Clips'}, {'id': 'pcmcat344600050002', 'name': 'iPhone 6 Plus Cases'}]",0.0,"Only at Best Buy
Compatible with Apple iPhone 6 Plus and 6s Plus; polycarbonate shell; TPU inner construction; play-through design; contrasting colors",Nanette Lepore,CO8501,http://www.bestbuy.com/site/nanette-lepore-case-for-apple-iphone-6-plus-and-6s-plus-multicolor/1749995.p?id=1219509178662&skuId=1749995&cmp=RMXCC,http://img.bbystatic.com/BestBuy_US/images/products/1749/1749995_sa.jpg
4555032,"SilverStone - 9"" x 5"" Loaf Pan - Chili Red",HardGood,20.99,631899513793,"[{'id': 'abcat0900000', 'name': 'Appliances'}, {'id': 'abcat0912000', 'name': 'Small Kitchen Appliances'}, {'id': 'pcmcat748301695371', 'name': 'Cookware, Bakeware & Cutlery'}, {'id': 'pcmcat748301695443', 'name': 'Bakeware'}]",5.49,"SILVERSTONE 9"" x 5"" Loaf Pan: Carbon steel construction with rolled rims; hybrid ceramic nonstick coating; PFOA- and PTFE-free design; oven-safe to 500 degrees; wide handles",SilverStone,51379,http://www.bestbuy.com/site/silverstone-9-x-5-loaf-pan-chili-red/4555032.p?id=1219766798489&skuId=4555032&cmp=RMXCC,http://img.bbystatic.com/BestBuy_US/images/products/4555/4555032_rc.jpg
9391106,Braun - Series 7 Replacement Foil Cutter (1-Count) - Silver,HardGood,43.99,69055873649,"[{'id': 'pcmcat242800050021', 'name': 'Health, Fitness & Beauty'}, {'id': 'abcat0915000', 'name': 'Personal Care & Beauty'}, {'id': 'abcat0915005', 'name': 'Shavers & Trimmers'}, {'id': 'pcmcat259100050004', 'name': 'Electric Shaver Replacement Heads'}]",0.0,"Compatible with models 5671, 5673, 5675, 760CC, 790CC, 9585, 9785; contains foil and cutter block",Braun,Braun Series 7 Combi 70S,http://www.bestbuy.com/site/braun-series-7-replacement-foil-cutter-1-count-silver/9391106.p?id=1218097974662&skuId=9391106&cmp=RMXCC,http://img.bbystatic.com/BestBuy_US/images/products/9391/9391106_rc.jpg
7133539,Trademark Art - A Quiet Lake by Albert Bierstadt - Green; Yellow; Orange,HardGood,124.99,886511094741,"[{'id': 'pcmcat312300050015', 'name': 'Connected Home & Housewares'}, {'id': 'pcmcat249700050006', 'name': 'Furniture & Decor'}, {'id': 'pcmcat286300050020', 'name': 'Wall Art'}]",0.0,"Gicl&#233;e print; 24""H x 32""W format",Trademark Art,BL0953-C2432GG,http://www.bestbuy.com/site/trademark-art-a-quiet-lake-by-albert-bierstadt-green-yellow-orange/7133539.p?id=1218831549888&skuId=7133539CC,http://img.bbystatic.com/BestBuy_US/images/products/7133/7133539_sa.jpg
4415602,PolarPro - Gimbal Guard for DJI Phantom 3 Drones - Black,HardGood,19.99,850454006253,"[{'id': 'pcmcat252700050006', 'name': 'Toys, Games & Drones'}, {'id': 'pcmcat369900050001', 'name': 'Drones & Accessories'}]",5.49,POLARPRO Gimbal Guard for DJI Phantom 3 Drones: Compatible with DJI Phantom 3 drones; glass-filled nylon construction; snap-on installation; impact-resistant; compact design,PolarPro,GMBL-GRD-P3,http://www.bestbuy.com/site/polarpro-gimbal-guard-for-dji-phantom-3-drones-black/4415602.p?id=1219744553852&skuId=4415602&cmp=RMXCC,http://img.bbystatic.com/BestBuy_US/images/pac/products/1313/1313531113/1313531113_sa.jpg
4627637,BLU - Energy X Plus 4G with 8GB Memory Cell Phone (Unlocked) - Silver,HardGood,134.99,848958020257,"[{'id': 'abcat0800000', 'name': 'Cell Phones'}, {'id': 'pcmcat156400050037', 'name': 'Unlocked Cell Phones'}, {'id': 'pcmcat311200050005', 'name': 'All Unlocked Cell Phones'}]",0.0,"Android 5.0 Lollipop operating system4G HSPA+ speedWi-Fi5.5"" touch-screen displayBluetooth8.0MP rear- and 5.0MP front-facing camerasOnly compatible with GSM carriers, including AT&T and T-Mobile",BLU,E030U SILVER,http://www.bestbuy.com/site/blu-energy-x-plus-4g-with-8gb-memory-cell-phone-unlocked-silver/4627637.p?id=1219780610782&skuId=4627637&cmp=RMXCC,http://img.bbystatic.com/BestBuy_US/images/pac/products/1314/1314243015/1314243015_sa.jpg
5019104,Insignia™ - Apple MFi Certified 4' Lightning Charge-and-Sync Cable - Black,HardGood,17.99,600603165054,"[{'id': 'abcat0800000', 'name': 'Cell Phones'}, {'id': 'abcat0811002', 'name': 'Cell Phone Accessories'}, {'id': 'abcat0811007', 'name': 'Adapters, Cables & Chargers'}]",5.49,"Compatible with select Apple&#174; iPad&#174;, iPhone&#174; and iPod&#174; models; lets you charge and sync Apple devices; 4' length",Insignia™,NS-FA5SC,http://www.bestbuy.com/site/insignia-apple-mfi-certified-4-lightning-charge-and-sync-cable-black/5019104.p?id=1219106282979&skuId=5019104&cmp=RMXCC,http://img.bbystatic.com/BestBuy_US/images/products/5019/5019104_sa.jpg
8972107,"Whirlpool - Gold 24"" Tall Tub Built-In Dishwasher - White",HardGood,499.99,883049340876,"[{'id': 'abcat0900000', 'name': 'Appliances'}, {'id': 'abcat0905000', 'name': 'Dishwashers'}, {'id': 'abcat0905001', 'name': 'Built-In Dishwashers'}]",,"Electronic controls; accommodates up to 15 place settings; 51 dBA operation; 5 wash cycles; 1-to-24-hour delay-wash; heated dry, high-temperature wash and NSF Certified Sani Rinse options",Whirlpool,WDT720PADW,http://www.bestbuy.com/site/whirlpool-gold-24-tall-tub-built-in-dishwasher-white/8972107.p?id=1219383301413&skuId=8972107&cmp=RMXCC,http://img.bbystatic.com/BestBuy_US/images/pac/products/1311/1311752435/1311752435_sa.jpg
9297566,Tripp Lite - 750VA Desktop UPS - Black,HardGood,99.99,37332143846,"[{'id': 'abcat0500000', 'name': 'Computers & Tablets'}, {'id': 'abcat0515000', 'name': 'Computer Accessories & Peripherals'}, {'id': 'abcat0515042', 'name': 'Surge Protectors & Power'}, {'id': 'abcat0515043', 'name': 'Battery Backup (UPS)'}]",0.0,750VA/450W power handling ability; 420 joules of protection; 12 total outlets; cable line protection; USB port; 6' power cord,Tripp Lite,Eco750ups,http://www.bestbuy.com/site/tripp-lite-750va-desktop-ups-black/9297566.p?id=1218079024104&skuId=9297566&cmp=RMXCC,http://img.bbystatic.com/BestBuy_US/images/products/9297/9297566_sa.jpg
